,date,count
0,2016-01-01,14009
1,2016-01-02,14342
2,2016-01-03,14411
3,2016-01-04,15347
4,2016-01-05,15427
5,2016-01-06,16024
6,2016-01-07,15586
7,2016-01-08,15188
8,2016-01-09,14147
9,2016-01-10,13873
10,2016-01-11,14740
11,2016-01-12,15606
12,2016-01-13,15655
13,2016-01-14,15791
14,2016-01-15,15392
15,2016-01-16,13907
16,2016-01-17,13504
17,2016-01-18,15788
18,2016-01-19,15521
19,2016-01-20,15560
20,2016-01-21,15749
21,2016-01-22,15223
22,2016-01-23,14463
23,2016-01-24,14250
24,2016-01-25,15078
25,2016-01-26,15295
26,2016-01-27,15046
27,2016-01-28,15576
28,2016-01-29,15549
29,2016-01-30,14472
30,2016-01-31,13882
31,2016-02-01,15960
32,2016-02-02,15874
33,2016-02-03,15250
34,2016-02-04,15367
35,2016-02-05,15000
36,2016-02-06,13889
37,2016-02-07,13954
38,2016-02-08,15491
39,2016-02-09,15174
40,2016-02-10,14845
41,2016-02-11,14037
42,2016-02-12,15050
43,2016-02-13,14195
44,2016-02-14,14580
45,2016-02-15,15444
46,2016-02-16,15593
47,2016-02-17,14961
48,2016-02-18,14959
49,2016-02-19,15170
50,2016-02-20,14055
51,2016-02-21,13998
52,2016-02-22,15149
53,2016-02-23,15018
54,2016-02-24,15094
55,2016-02-25,15028
56,2016-02-26,14628
57,2016-02-27,13887
58,2016-02-28,14261
59,2016-02-29,15958
60,2016-03-01,14663
61,2016-03-02,14552
62,2016-03-03,15170
63,2016-03-04,14699
64,2016-03-05,13601
65,2016-03-06,13700
66,2016-03-07,15221
67,2016-03-08,14956
68,2016-03-09,14964
69,2016-03-10,14718
70,2016-03-11,14450
71,2016-03-12,13709
72,2016-03-13,13568
73,2016-03-14,14696
74,2016-03-15,14805
75,2016-03-16,14844
76,2016-03-17,14900
77,2016-03-18,14832
78,2016-03-19,13759
79,2016-03-20,13368
80,2016-03-21,13692
81,2016-03-22,15234
82,2016-03-23,14737
83,2016-03-24,14283
84,2016-03-25,14086
85,2016-03-26,13190
86,2016-03-27,13420
87,2016-03-28,14424
88,2016-03-29,14745
89,2016-03-30,14585
90,2016-03-31,14419
91,2016-04-01,14257
92,2016-04-02,13200
93,2016-04-03,13180
94,2016-04-04,14726
95,2016-04-05,14889
96,2016-04-06,14695
97,2016-04-07,14974
98,2016-04-08,13967
99,2016-04-09,13261
100,2016-04-10,13147
101,2016-04-11,14306
102,2016-04-12,14662
103,2016-04-13,14536
104,2016-04-14,14824
105,2016-04-15,14293
106,2016-04-16,13477
107,2016-04-17,13384
108,2016-04-18,14537
109,2016-04-19,14486
110,2016-04-20,14800
111,2016-04-21,14717
112,2016-04-22,14129
113,2016-04-23,13050
114,2016-04-24,13063
115,2016-04-25,14763
116,2016-04-26,14395
117,2016-04-27,14671
118,2016-04-28,14229
119,2016-04-29,12834
120,2016-04-30,12807
121,2016-05-01,12788
122,2016-05-02,13700
123,2016-05-03,13225
124,2016-05-04,12922
125,2016-05-05,13181
126,2016-05-06,13634
127,2016-05-07,13268
128,2016-05-08,12997
129,2016-05-09,14292
130,2016-05-10,14407
131,2016-05-11,14427
132,2016-05-12,8932
133,2016-05-13,13970
134,2016-05-14,12958
135,2016-05-15,13035
136,2016-05-16,14497
137,2016-05-17,14601
138,2016-05-18,14378
139,2016-05-19,14327
140,2016-05-20,14068
141,2016-05-21,12718
142,2016-05-22,12757
143,2016-05-23,14229
144,2016-05-24,14489
145,2016-05-25,14336
146,2016-05-26,14117
147,2016-05-27,13604
148,2016-05-28,12787
149,2016-05-29,12744
150,2016-05-30,14195
151,2016-05-31,14310
152,2016-06-01,14075
153,2016-06-02,14044
154,2016-06-03,13977
155,2016-06-04,12558
156,2016-06-05,12442
157,2016-06-06,14147
158,2016-06-07,14210
159,2016-06-08,14283
160,2016-06-09,13911
161,2016-06-10,13990
162,2016-06-11,12756
163,2016-06-12,12657
164,2016-06-13,14407
165,2016-06-14,14210
166,2016-06-15,13983
167,2016-06-16,14065
168,2016-06-17,14020
169,2016-06-18,12704
170,2016-06-19,13077
171,2016-06-20,14055
172,2016-06-21,13969
173,2016-06-22,14283
174,2016-06-23,14091
175,2016-06-24,13765
176,2016-06-25,12764
177,2016-06-26,12185
178,2016-06-27,14081
179,2016-06-28,13775
180,2016-06-29,13823
181,2016-06-30,13670
